2013-04-22 06:43:41 startup archives install
2013-04-22 06:43:41 install base-files:armhf <none> 6.5ubuntu12+linaro13.02
2013-04-22 06:43:41 status half-installed base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:42 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:42 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:42 install base-passwd:armhf <none> 3.5.26
2013-04-22 06:43:42 status half-installed base-passwd:armhf 3.5.26
2013-04-22 06:43:42 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:43:42 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:43:42 configure base-passwd:armhf 3.5.26 3.5.26
2013-04-22 06:43:42 status unpacked base-passwd:armhf 3.5.26
2013-04-22 06:43:42 status half-configured base-passwd:armhf 3.5.26
2013-04-22 06:43:43 status installed base-passwd:armhf 3.5.26
2013-04-22 06:43:43 configure base-files:armhf 6.5ubuntu12+linaro13.02 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status unpacked base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:43 status half-configured base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:46 status installed base-files:armhf 6.5ubuntu12+linaro13.02
2013-04-22 06:43:46 startup archives install
2013-04-22 06:43:46 upgrade dpkg 1.16.7ubuntu6 1.16.7ubuntu6
2013-04-22 06:43:46 status half-configured dpkg 1.16.7ubuntu6
2013-04-22 06:43:46 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:46 status half-installed dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status half-installed dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 configure dpkg 1.16.7ubuntu6 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status unpacked dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status half-configured dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 status installed dpkg 1.16.7ubuntu6
2013-04-22 06:43:47 startup archives install
2013-04-22 06:43:48 install libc6:armhf <none> 2.15-0ubuntu20
2013-04-22 06:43:48 status half-installed libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:49 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:49 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:49 configure libc6:armhf 2.15-0ubuntu20 2.15-0ubuntu20
2013-04-22 06:43:49 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:49 status unpacked libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:49 status half-configured libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:52 status installed libc6:armhf 2.15-0ubuntu20
2013-04-22 06:43:52 startup archives install
2013-04-22 06:43:52 install perl-base:armhf <none> 5.14.2-13
2013-04-22 06:43:52 status half-installed perl-base:armhf 5.14.2-13
